## HMC Algorithm for U(1) gauge theory
## (C) Carsten Urbach <urbach@hiskp.uni-bonn.de> (2017, 2021)
## GIT branch staggered_yaml on commit 075bfc5
## Parsing input file: hmc_rot.input
## geometry:X=2
## geometry:Y=2
## geometry:Z=2
## geometry:T=2
## geometry:ndims=4
## geometry:rotating_frame:Omega=0
## monomials:gauge:beta=1.9
## hmc:n_save=10
## hmc:n_meas=1000
check 0
## hmc:restart=0 (default)
check 0
## hmc:heat=1
check 0
## hmc:seed=93746
## hmc:configname=
## hmc:conf_dir=./confs/
## hmc:conf_basename=u1_conf (default)
## hmc:lenghty_conf_name=1
## hmc:beta_str_width=6 (default)
## integrator:N_rev=0
## integrator:n_steps=50
## integrator:tau=1
## integrator:exponent=0
## integrator:name=leapfrog
## omeas:verbosity=1
## omeas:icounter=20
## omeas:nstep=30
## omeas:Wloop=1
hotstart 93746 1
## Initital Plaquette: -0.0455674
## Plaquette after rnd trafo: -0.0455674
## MD integrator: leapfrog
## Normalization factor: A = 2/(d*(d-1)*N_lat*N_c) = 1.041666666666667e-02
## Acceptance rate parcentage: rho = rate/(i+1)
i getaccept E*A dH rho ddH Q
53 1 9.218279789802605e-01 -1.895629649062336e-02 1.000000000000000e+00 NA 3.166002576522230e-06
54 1 9.135157129274052e-01 4.789131831772764e-03 1.000000000000000e+00 NA 4.436448373744250e-05
55 1 8.907155238271589e-01 3.531560695343217e-03 1.000000000000000e+00 NA 1.572536747058928e-05
56 1 8.550763569798807e-01 1.444727062435902e-02 1.000000000000000e+00 NA 6.116931113092385e-06
57 1 8.936009583754739e-01 -1.427383208750399e-02 1.000000000000000e+00 NA 1.577474958899006e-05
58 1 8.574776359532065e-01 1.104650325055445e-02 1.000000000000000e+00 NA -1.589603659453493e-04
59 1 8.846608566166518e-01 -7.405383759735429e-03 1.000000000000000e+00 NA -9.052850950384469e-06
60 1 9.004909426578365e-01 -3.712288080897963e-03 1.000000000000000e+00 NA 3.511963244466746e-05
## online measuring: Wilson loop
61 1 9.005893263026380e-01 -1.959619946468649e-03 1.000000000000000e+00 NA -3.701473298729179e-05
62 1 8.996558487335889e-01 3.979380620652506e-03 1.000000000000000e+00 NA 9.874037059946335e-06
63 1 8.726128885576907e-01 7.059529052355629e-03 1.000000000000000e+00 NA -1.901573846334274e-05
64 1 9.076736300892583e-01 -1.514406959525871e-02 1.000000000000000e+00 NA 5.253679646273211e-05
65 1 8.557075784536267e-01 1.117603326526861e-02 1.000000000000000e+00 NA 2.334584597350263e-04
66 1 8.870208145147990e-01 -2.337223754867779e-03 1.000000000000000e+00 NA -3.356114877242621e-05
67 1 8.916268630998442e-01 9.572423745929370e-04 1.000000000000000e+00 NA 1.385620243844521e-05
68 1 9.117304187165172e-01 -4.731548835625432e-03 1.000000000000000e+00 NA -3.234534751021415e-06
69 1 9.192927432563363e-01 -4.200183905430421e-03 1.000000000000000e+00 NA 3.485797624763928e-06
70 1 9.062557712588198e-01 3.442112268162489e-03 1.000000000000000e+00 NA -4.269200237800846e-05
71 1 9.086356889452173e-01 -3.168191351392124e-03 1.000000000000000e+00 NA 7.478402242007515e-06
72 1 8.890566914940596e-01 9.234815789618267e-03 1.000000000000000e+00 NA -3.596979933822894e-05
73 1 9.124696359417742e-01 -5.633620773062731e-03 1.000000000000000e+00 NA -5.703850354168980e-07
74 1 8.924210038935279e-01 1.018418620731687e-02 1.000000000000000e+00 NA 5.471240725969010e-05
75 1 8.671379576143083e-01 -1.953487024735523e-03 1.000000000000000e+00 NA -5.343359276464390e-05
76 1 8.782635738087171e-01 6.972381994074794e-05 1.000000000000000e+00 NA -4.110976756494885e-05
77 1 8.964019077977957e-01 -7.910299160869272e-03 1.000000000000000e+00 NA 5.577455302960496e-05
78 1 9.015839959719099e-01 2.499506898029580e-03 1.000000000000000e+00 NA -1.057326186861564e-04
79 1 8.684390945533620e-01 1.390321520791815e-02 1.000000000000000e+00 NA 7.891529652135575e-05
80 1 8.884061461270867e-01 -8.356711892556490e-03 1.000000000000000e+00 NA -2.845685862059516e-06
81 1 9.228581877699165e-01 -1.434083628383043e-02 1.000000000000000e+00 NA -7.988029641049894e-06
82 1 9.015551572099247e-01 7.655584394834491e-03 1.000000000000000e+00 NA -3.259780149365661e-05
83 1 8.996260278856871e-01 2.016833759348913e-03 1.000000000000000e+00 NA 3.001165174596549e-06
84 1 9.020355886114434e-01 -1.144197603693442e-03 1.000000000000000e+00 NA 3.369439705737690e-05
85 1 9.005783716541513e-01 2.620815889788020e-03 1.000000000000000e+00 NA 6.243345177949897e-05
86 1 9.049314429143177e-01 -2.516240616852627e-03 1.000000000000000e+00 NA 5.429185425119527e-05
87 1 8.548939325221085e-01 1.420692738111384e-02 1.000000000000000e+00 NA 3.754665367193721e-05
88 1 8.736173111993321e-01 -6.204331134334495e-03 1.000000000000000e+00 NA 6.184415488135379e-05
89 1 8.813018731519855e-01 -3.491391814733902e-03 1.000000000000000e+00 NA 1.347541356491599e-04
90 1 8.528511811315662e-01 3.105824786324263e-03 1.000000000000000e+00 NA 8.358106174539794e-05
## online measuring: Wilson loop
91 1 8.267347121142784e-01 1.188579820455615e-02 1.000000000000000e+00 NA -1.639923547576713e-04
92 1 8.417158585661731e-01 -1.466680212768523e-03 1.000000000000000e+00 NA -1.938015184682437e-05
93 1 8.851761831854994e-01 -1.949480112853053e-02 1.000000000000000e+00 NA 8.044692806641633e-06
94 1 8.385086541327544e-01 9.880676222014273e-03 1.000000000000000e+00 NA -2.221428407870739e-04
95 1 8.649774421529376e-01 -2.447211098182578e-03 1.000000000000000e+00 NA -3.158423287012631e-05
96 1 8.995335061808092e-01 -1.530351451257062e-02 1.000000000000000e+00 NA -8.194044848380682e-05
97 1 8.747055492528732e-01 1.094505715001048e-02 1.000000000000000e+00 NA 1.457084121683753e-06
98 1 8.824161846437131e-01 -4.957353793457742e-03 1.000000000000000e+00 NA 2.428321687727282e-05
99 1 8.683693353841663e-01 8.260611115272098e-03 1.000000000000000e+00 NA -9.255999099113559e-05
100 1 8.684489863525713e-01 -5.602862427949162e-04 1.000000000000000e+00 NA -1.467122993251767e-05
101 1 8.754124480774628e-01 -2.718477819545484e-03 1.000000000000000e+00 NA 1.445672412117044e-05
102 1 8.626906003326547e-01 -3.609086249731774e-04 1.000000000000000e+00 NA 3.609769260017565e-05
103 1 8.654879036466085e-01 1.780888365694011e-03 1.000000000000000e+00 NA 6.598181405811503e-06
104 1 8.840014715947753e-01 -3.302781252802589e-03 1.000000000000000e+00 NA -1.371221598600676e-05
105 1 8.890536509455310e-01 1.864786567061572e-03 1.000000000000000e+00 NA 1.445112695958908e-06
106 1 9.056875524171337e-01 -6.925070941825595e-03 1.000000000000000e+00 NA -7.083735051053128e-06
107 1 8.679775302593111e-01 1.082802905610336e-02 1.000000000000000e+00 NA 9.008715944977678e-06
108 1 8.646424705517952e-01 -1.804425893936923e-03 1.000000000000000e+00 NA -1.256551525418446e-04
109 1 8.469093839483405e-01 1.288271081108405e-03 1.000000000000000e+00 NA 6.152557987153857e-05
110 1 8.281407688650094e-01 3.113042230634022e-03 1.000000000000000e+00 NA 2.651266070707569e-05
111 1 8.397945524956894e-01 -2.571085873878332e-03 1.000000000000000e+00 NA -7.684510992871011e-05
112 1 7.875576305487411e-01 1.268011294216009e-02 1.000000000000000e+00 NA -4.120983292300451e-04
113 1 7.984532786213008e-01 -3.054754115627389e-03 1.000000000000000e+00 NA 1.898570830469370e-04
114 1 8.213941659414044e-01 -6.026008051037479e-03 1.000000000000000e+00 NA 8.688079880452021e-06
115 1 8.279624182372161e-01 4.542375948414445e-03 1.000000000000000e+00 NA 2.343443004728471e-04
116 1 8.575196871455393e-01 -6.435219459380193e-03 1.000000000000000e+00 NA -2.972875062404494e-05
117 1 8.439176422642414e-01 2.068769445838115e-03 1.000000000000000e+00 NA -1.331214352610276e-04
118 1 8.731644610178231e-01 -5.841059935946191e-03 1.000000000000000e+00 NA -9.063893487221485e-05
119 1 8.409763149470112e-01 1.513213776611622e-04 1.000000000000000e+00 NA -5.198557522379698e-04
120 1 8.361132555880856e-01 5.685254543998042e-03 1.000000000000000e+00 NA 5.544349102978538e-07
## online measuring: Wilson loop
121 1 8.599366227473235e-01 -4.058406964013272e-03 1.000000000000000e+00 NA -2.418884621838753e-05
122 1 8.948934160200597e-01 -1.078251540329234e-02 1.000000000000000e+00 NA -4.166738818276502e-05
123 1 8.941217424931290e-01 4.388371504195021e-03 1.000000000000000e+00 NA -9.354026126034141e-05
124 1 9.104836750785960e-01 -1.902972014985238e-03 1.000000000000000e+00 NA 7.208951381263434e-06
125 1 9.094761549652122e-01 -1.317728270425533e-03 1.000000000000000e+00 NA -2.744977464367017e-05
126 1 8.914018053741595e-01 7.066114449969518e-04 1.000000000000000e+00 NA 5.102731236445576e-05
127 1 8.886568515076603e-01 6.225220900546447e-06 1.000000000000000e+00 NA 3.466391764008996e-05
128 1 8.764759154424833e-01 5.446846783303982e-03 1.000000000000000e+00 NA 8.721232492835667e-05
129 1 8.996524845467881e-01 -6.687713985449761e-03 1.000000000000000e+00 NA 8.004435139203278e-06
130 1 9.076842943628073e-01 3.057163145854247e-04 1.000000000000000e+00 NA -1.280079559591999e-05
131 1 9.067623463144312e-01 3.111926383152053e-03 1.000000000000000e+00 NA -3.434278065039754e-05
132 1 8.853298300921959e-01 4.446275083978435e-03 1.000000000000000e+00 NA -1.893424127655441e-06
133 1 8.545742488601317e-01 5.389836396204828e-03 1.000000000000000e+00 NA -3.757056495025169e-04
134 1 8.742866087320980e-01 -5.328658047123014e-03 1.000000000000000e+00 NA 2.083321415073450e-05
135 1 8.484271097226446e-01 1.215542528603208e-02 1.000000000000000e+00 NA 1.365447396601489e-04
136 1 8.377206471964966e-01 -3.701490680683150e-04 1.000000000000000e+00 NA -2.080257180341616e-05
137 1 8.439918101477724e-01 -5.202586604426074e-03 1.000000000000000e+00 NA -3.164189745209132e-04
138 1 8.614639188366109e-01 -6.391669132547406e-03 1.000000000000000e+00 NA -3.873615132555591e-04
139 1 8.398255385760663e-01 7.923327621401910e-03 1.000000000000000e+00 NA 2.309705045796856e-05
140 1 8.164676137671766e-01 8.650220587803403e-03 1.000000000000000e+00 NA 3.683477371854010e-04
141 1 8.774438021151056e-01 -1.791232016081423e-02 1.000000000000000e+00 NA 3.990356082010094e-05
142 1 8.622945768150843e-01 4.930806893415962e-03 1.000000000000000e+00 NA 1.451832757223444e-04
143 1 8.699748515016440e-01 -4.498776506999036e-03 1.000000000000000e+00 NA 1.705210047802202e-05
144 1 8.859417200578422e-01 -2.341461463196026e-03 1.000000000000000e+00 NA -3.566420477177572e-05
145 1 8.629055731771210e-01 6.659163669617385e-03 1.000000000000000e+00 NA -1.386557605468730e-05
146 1 8.648098525362040e-01 -4.436516409814573e-03 1.000000000000000e+00 NA 9.054798393699601e-06
147 1 8.754544384482179e-01 -4.702871225305216e-03 1.000000000000000e+00 NA 3.982447493949676e-05
148 1 8.779055804653462e-01 4.000447749348268e-03 1.000000000000000e+00 NA 5.276374468334996e-06
149 1 8.826137613560815e-01 -1.351457951557222e-04 1.000000000000000e+00 NA -1.557925162644715e-05
150 1 8.433829287990756e-01 1.043766853301875e-02 1.000000000000000e+00 NA -2.473205603127920e-05
## online measuring: Wilson loop
151 1 8.922480830342053e-01 -1.929108439541238e-02 1.000000000000000e+00 NA -7.237937556006291e-05
152 1 8.960305890164310e-01 7.321597921823297e-04 1.000000000000000e+00 NA 7.383755096282632e-06
153 1 9.010951883662863e-01 2.041350879292025e-03 1.000000000000000e+00 NA 1.176913219807445e-05
154 1 8.858028126051780e-01 8.518494106496632e-03 1.000000000000000e+00 NA 1.289656242384745e-05
155 1 8.804453447801353e-01 -5.701697365406488e-03 1.000000000000000e+00 NA -1.215610877484240e-05
156 1 8.576208772382860e-01 3.862176192264144e-03 1.000000000000000e+00 NA -1.326005382762954e-04
157 1 8.618490604200932e-01 1.205702986283086e-03 1.000000000000000e+00 NA 2.954363837505985e-05
158 1 8.875470934641139e-01 -1.064690799253754e-02 1.000000000000000e+00 NA 7.685650218735042e-05
159 1 8.846935714596038e-01 1.403952502712968e-03 1.000000000000000e+00 NA -2.912740426228530e-05
160 1 8.450468729721288e-01 7.473351639973203e-03 1.000000000000000e+00 NA -4.067800668643860e-05
161 1 8.337676904356170e-01 8.193432319583138e-03 1.000000000000000e+00 NA 3.176553292940549e-06
162 1 8.621877247132810e-01 -5.016642940375959e-03 1.000000000000000e+00 NA -1.802418878462622e-04
163 1 8.257619273145975e-01 1.094467478173300e-02 1.000000000000000e+00 NA 2.483495875390221e-05
164 1 8.682433632701632e-01 -1.056691040377444e-02 1.000000000000000e+00 NA -1.164599574783412e-04
165 1 8.648598580553308e-01 3.818434755693545e-04 1.000000000000000e+00 NA 5.507368742767817e-04
166 1 8.562886533608971e-01 2.521853631517246e-03 1.000000000000000e+00 NA 6.559955287401718e-05
167 1 9.111795707008499e-01 -1.511413833236475e-02 1.000000000000000e+00 NA 1.293678660596908e-05
168 1 9.143719082933661e-01 5.359271477125560e-04 1.000000000000000e+00 NA 4.215763219313918e-05
169 1 9.029359156449406e-01 5.809035100675430e-03 1.000000000000000e+00 NA 4.813807268462161e-05
170 1 8.981199723545341e-01 3.650930287300014e-04 1.000000000000000e+00 NA 3.023615687545877e-05
171 1 9.225223916083359e-01 -9.460202747678892e-03 1.000000000000000e+00 NA -9.155569371193025e-07
172 1 9.192848144692946e-01 -6.154237138318308e-04 1.000000000000000e+00 NA -2.489797130461496e-05
173 1 8.610557816877906e-01 2.031842643389581e-02 1.000000000000000e+00 NA -8.554719298826620e-05
174 1 8.990391802521686e-01 -1.030592746653625e-02 1.000000000000000e+00 NA -3.777565681064164e-05
175 1 8.561080183965407e-01 1.230266940576641e-02 1.000000000000000e+00 NA -1.126228288435107e-04
176 1 8.811754395647382e-01 -9.209091164649408e-03 1.000000000000000e+00 NA -3.882607009622473e-05
177 1 8.753278597224906e-01 4.945464681703982e-03 1.000000000000000e+00 NA 2.915215683855879e-05
178 1 8.943251509131382e-01 -7.692649216153313e-03 1.000000000000000e+00 NA 5.622018347268275e-05
179 1 8.755188797511491e-01 8.959562304397650e-03 1.000000000000000e+00 NA 2.835229785743370e-05
180 1 8.741685654366625e-01 -7.186906172524488e-03 1.000000000000000e+00 NA -9.173001732619171e-07
## online measuring: Wilson loop
181 1 8.634641490903281e-01 3.493003061521449e-03 1.000000000000000e+00 NA 5.793873188971677e-05
182 1 8.798716617706336e-01 -4.618824594032844e-03 1.000000000000000e+00 NA 1.213494986446343e-04
183 1 8.640566705586545e-01 6.086951559240106e-03 1.000000000000000e+00 NA 6.842820869688035e-05
184 1 8.750256940106509e-01 -2.882447952590184e-03 1.000000000000000e+00 NA -7.446546095588602e-06
185 1 8.752406884621809e-01 -4.498302536017462e-03 1.000000000000000e+00 NA 9.062838609974572e-05
186 1 8.922791742552763e-01 -4.883079875369845e-03 1.000000000000000e+00 NA 3.345300784003033e-05
187 1 8.849001414858035e-01 3.353459425088801e-03 1.000000000000000e+00 NA 3.881456795908122e-05
188 1 8.586837313404185e-01 6.818343653144154e-03 1.000000000000000e+00 NA 6.035275469435504e-05
189 1 8.721427323171425e-01 -6.979762173919823e-04 1.000000000000000e+00 NA -7.726135281547606e-05
190 1 8.744906902772921e-01 -3.518220430848373e-03 1.000000000000000e+00 NA -9.684509850027324e-05
191 1 8.795345865294817e-01 2.367843982714390e-03 1.000000000000000e+00 NA -7.547683443866907e-05
192 1 8.791779940483455e-01 -1.208024616214942e-03 1.000000000000000e+00 NA -1.481256329146369e-04
193 1 8.818343079872972e-01 -2.251288620627179e-04 1.000000000000000e+00 NA -1.855213435755315e-05
194 1 8.633496396050526e-01 1.240687523399231e-03 1.000000000000000e+00 NA -3.011080870456742e-05
195 1 8.107122777715052e-01 1.805609649745321e-02 1.000000000000000e+00 NA -1.930459861710619e-04
196 1 8.076080851184608e-01 -6.233690338035558e-03 1.000000000000000e+00 NA 1.040755920864881e-04
197 1 8.234339481985918e-01 -8.834989244590474e-04 1.000000000000000e+00 NA -4.068532662664097e-04
198 1 8.173402369103840e-01 -3.371501330793336e-03 1.000000000000000e+00 NA -2.079161842691287e-04
199 1 8.215849649096203e-01 7.042235960700083e-03 1.000000000000000e+00 NA -7.485265300873298e-05
200 1 8.561498597416080e-01 -8.641088285383347e-03 1.000000000000000e+00 NA -1.739331435138960e-05
201 1 8.405954903968992e-01 2.410751111341369e-04 1.000000000000000e+00 NA 2.387019270749261e-05
202 1 8.091330879149263e-01 7.115631464614580e-03 1.000000000000000e+00 NA 4.398289524301901e-05
203 1 8.368343498930237e-01 -1.231385919380301e-02 1.000000000000000e+00 NA -2.049807190465968e-04
204 1 8.379134541870439e-01 4.620715929195995e-03 1.000000000000000e+00 NA 5.290334539848099e-05
205 1 8.356974967951333e-01 1.179097150185271e-03 1.000000000000000e+00 NA 1.209139749737152e-04
206 1 8.644106813491605e-01 -6.235049969891548e-03 1.000000000000000e+00 NA 2.581665311945778e-05
207 1 8.886175520325900e-01 -5.685495396210882e-03 1.000000000000000e+00 NA 5.463564242157620e-06
208 1 8.510140052533508e-01 1.514055616889110e-02 1.000000000000000e+00 NA -8.034690166887099e-05
209 1 8.398750103266318e-01 -5.506961501353658e-04 1.000000000000000e+00 NA 3.078831768984124e-05
210 1 8.711198599388089e-01 -1.159463560267682e-02 1.000000000000000e+00 NA -5.447977170654157e-05
## online measuring: Wilson loop
211 1 8.248538486337849e-01 1.362706692649596e-02 1.000000000000000e+00 NA -6.840929439762776e-05
212 1 8.720914705415748e-01 -1.366793990966286e-02 1.000000000000000e+00 NA 5.101241967478307e-05
213 1 9.144534765043432e-01 -1.160997101488448e-02 1.000000000000000e+00 NA -1.363301892002511e-05
214 1 8.555135213743770e-01 2.392122809667185e-02 1.000000000000000e+00 NA -1.242239454342366e-04
215 1 8.783610717824241e-01 -1.059861689926578e-02 1.000000000000000e+00 NA -1.731617606796227e-05
216 1 8.697386986095792e-01 1.871402873451444e-03 1.000000000000000e+00 NA -1.174840805376608e-04
217 1 8.356803407745192e-01 7.005311134136605e-03 1.000000000000000e+00 NA 7.221520744433719e-05
218 1 8.651415277544974e-01 -8.083465776813625e-03 1.000000000000000e+00 NA 1.568025737539140e-04
219 1 8.736943083507835e-01 -1.022218239513251e-02 1.000000000000000e+00 NA 3.147041104027127e-05
220 1 8.474513285186547e-01 7.095579342614400e-03 1.000000000000000e+00 NA 1.074606312438053e-04
221 1 8.264306097085186e-01 1.168363129111682e-02 1.000000000000000e+00 NA -7.482261886009981e-05
222 1 8.374565547386098e-01 -8.470975024653882e-03 1.000000000000000e+00 NA 3.191012542168496e-05
223 1 8.534454701689274e-01 -1.599249439429684e-03 1.000000000000000e+00 NA -6.071346076354612e-05
224 1 8.335779782145265e-01 2.370695449492644e-03 1.000000000000000e+00 NA -4.856060055894569e-06
225 1 8.515987625679691e-01 1.281792663288428e-03 1.000000000000000e+00 NA -1.049112655514883e-05
226 1 8.635773336042458e-01 -5.107543239333268e-04 1.000000000000000e+00 NA 1.720139418746656e-05
227 1 8.696194450201598e-01 -3.491517772793884e-03 1.000000000000000e+00 NA 2.252232092383424e-05
228 1 9.070957915348027e-01 -6.834014210625128e-03 1.000000000000000e+00 NA 9.795795272619763e-06
229 1 9.109102086343644e-01 -2.743287253835547e-03 1.000000000000000e+00 NA 1.649544392435961e-05
230 1 9.061182641780499e-01 1.746468866723916e-03 1.000000000000000e+00 NA -6.012260859117751e-07
231 1 9.052636105707197e-01 -3.368962798617758e-03 1.000000000000000e+00 NA -2.087200172890662e-05
232 1 8.754415696669678e-01 9.357450998766836e-03 1.000000000000000e+00 NA 2.008435910091342e-05
233 1 8.910782262672138e-01 -3.742958382563444e-03 1.000000000000000e+00 NA 1.928611627658916e-05
234 1 8.720168690226500e-01 1.049521858389113e-02 1.000000000000000e+00 NA 8.084479461169099e-05
235 1 8.611928519258427e-01 -3.111253268265557e-03 1.000000000000000e+00 NA 2.748377694344263e-05
236 1 8.601816915220195e-01 -1.134797576760604e-04 1.000000000000000e+00 NA 5.498100456075426e-05
237 1 8.529058097017997e-01 5.429555003004793e-03 1.000000000000000e+00 NA -3.212526880025268e-05
238 1 8.593366829607630e-01 -6.481189248159325e-03 1.000000000000000e+00 NA -5.346230036140648e-05
239 1 8.806884100673510e-01 -5.567436654342117e-03 1.000000000000000e+00 NA -7.256896024139886e-05
240 1 8.542921277277303e-01 7.564220479100214e-03 1.000000000000000e+00 NA 1.491227429554382e-04
## online measuring: Wilson loop
241 1 8.713935450044312e-01 -6.711505178635946e-04 1.000000000000000e+00 NA 6.958363915867366e-06
242 1 8.847312856193688e-01 -6.619395539090078e-03 1.000000000000000e+00 NA 3.353916781746614e-05
243 1 8.459662873644720e-01 1.088547203920243e-02 1.000000000000000e+00 NA 1.325978237150630e-04
244 1 8.692481990440424e-01 -9.915191875123242e-03 1.000000000000000e+00 NA -7.214745962171512e-05
245 1 8.172920684347347e-01 1.456702887114503e-02 1.000000000000000e+00 NA -8.489982606513826e-06
